ID,Name,Age,Email,Join Date,Salary
1,Alice,25,alice@example.com,2021-01-15,50000
2,Bob,30,bob@example.com,2020/12/01,60000
3,Charlie,,charlie[at]email.com,15-03-2021,sixty thousand
4,David,45,david@example.com,"April 5, 2021",80000
5,Eve,22,eve@example,2021-13-01,45000
5,Eve,22,eve@example,2021-01-13,45000
6,,38,grace@example.com,2022-05-11,70000
7,Grace,thirty,grace@example.com,,
8,Heidi,29,heidi@example.com,2022-02-30,62000
nine,Ivan,41,ivan@,2020-11-15,58000
10,Judy,35,judy@example.com,not available,NA
